winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
42,55,1985,4.7,254,0,11,827.94,5,5.0,3.0
11,50,2017,4.7,251,0,2,66.07,9,4.0,2.0
7,11,2012,4.7,243,0,12,213.9,6,4.0,3.0
35,35,2006,4.7,240,0,12,234.9,6,4.0,3.0
42,55,1968,4.7,225,0,11,2087.25,5,5.0,3.0
44,30,2018,4.7,220,0,12,89.9,6,4.0,3.0
42,55,1964,4.7,214,0,11,1384.54,5,5.0,3.0
42,55,1982,4.7,205,0,11,820.98,5,5.0,3.0
19,41,2015,4.7,203,0,11,1250.0,5,5.0,3.0
42,56,1995,4.7,196,0,11,1500.0,5,5.0,3.0
19,41,1999,4.7,184,0,11,1715.18,5,5.0,3.0
42,55,1974,4.7,173,0,11,932.3,5,5.0,3.0
3,25,1998,4.7,171,0,10,1372.14,3,4.0,3.0
13,6,2015,4.7,137,0,14,78.9,10,5.0,3.0
42,56,2012,4.7,136,0,11,660.96,5,5.0,3.0
32,39,2009,4.7,134,0,11,154.0,5,5.0,3.0
42,58,2017,4.7,133,0,11,134.89,5,5.0,3.0
3,25,2000,4.7,132,0,10,1422.96,3,4.0,3.0
8,49,2005,4.7,131,0,14,207.11,10,5.0,3.0
42,56,2011,4.7,131,0,11,340.49,5,5.0,3.0
21,10,2010,4.7,127,0,11,317.63,5,5.0,3.0
2,4,2011,4.7,123,0,1,108.9,1,5.0,3.0
42,55,1983,4.7,118,0,11,700.0,5,5.0,3.0
40,15,1955,4.7,117,0,9,185.0,2,5.0,1.0
42,55,1980,4.7,116,0,11,911.43,5,5.0,3.0
7,11,2005,4.7,112,0,12,1150.0,6,4.0,3.0
42,55,1972,4.7,110,0,11,698.95,5,5.0,3.0
8,49,2004,4.7,108,0,14,2814.16,10,5.0,3.0
39,51,2010,4.7,102,0,14,1325.0,10,5.0,3.0
3,43,2015,4.7,102,0,12,527.26,6,4.0,3.0
42,56,1987,4.7,100,0,11,1071.45,5,5.0,3.0
27,0,2015,4.7,94,0,10,299.0,3,4.0,3.0
42,55,1953,4.7,89,0,11,1207.6,5,5.0,3.0
12,9,2000,4.7,87,0,12,175.0,6,4.0,3.0
3,25,2015,4.7,82,0,10,1252.35,3,4.0,3.0
10,18,2019,4.7,80,0,7,145.9,4,4.0,3.0
27,0,2013,4.7,74,0,10,447.95,3,4.0,3.0
42,56,2006,4.7,72,0,11,813.96,5,5.0,3.0
3,25,2005,4.7,67,0,10,1410.26,3,4.0,3.0
26,5,2006,4.7,65,0,10,182.9,3,4.0,3.0
34,54,2007,4.7,64,0,3,99.0,0,2.0,3.0
42,56,1986,4.7,63,0,11,1113.2,5,5.0,3.0
16,42,2007,4.7,60,0,10,654.31,3,4.0,3.0
32,39,2016,4.7,59,0,11,134.26,5,5.0,3.0
6,45,N.V.,4.7,58,0,5,380.0,8,4.0,3.0
24,24,1982,4.7,57,0,12,292.09,6,4.0,3.0
23,3,1987,4.7,53,0,5,400.85,8,4.0,3.0
16,14,2007,4.7,51,0,10,202.01,4,4.0,3.0
40,16,1955,4.7,50,0,9,250.0,2,5.0,1.0
44,30,2019,4.7,49,0,12,88.9,6,4.0,3.0
9,19,2016,4.7,49,0,12,77.9,6,4.0,3.0
40,15,1958,4.7,47,0,9,191.61,2,5.0,1.0
39,2,2018,4.7,45,0,14,123.89,10,5.0,3.0
